class,noise_type,filter,psnr,ssim
without_mask,blur,mean,33.33760237620129,0.9555561415352742
without_mask,blur,median,33.648574301163556,0.956179144390719
without_mask,blur,none,26.633989807291208,0.753064460927677
without_mask,blur,mean,26.38297125089001,0.7364717360151615
without_mask,blur,median,26.489131104897517,0.7412459861741484
without_mask,blur,none,26.874794650839515,0.756263906677772
without_mask,blur,mean,26.772980079488065,0.7530285858414891
without_mask,blur,median,26.84206351598656,0.7548325212395305
without_mask,blur,none,30.72090786218515,0.9089739584550246
without_mask,blur,mean,30.540183021822443,0.9075116345938117
without_mask,blur,median,30.670225460672015,0.9082938513456248
without_mask,blur,none,28.090390217092512,0.8511121677411652
without_mask,blur,mean,27.913825470027618,0.847396510245859
without_mask,blur,median,28.035263273561487,0.8494664501350594
without_mask,blur,none,21.63693005953771,0.6382137694893631
without_mask,blur,mean,21.30754419030872,0.6170708417006053
without_mask,blur,median,21.57480635459048,0.6278379571536171
without_mask,blur,none,21.760665105060074,0.7227518712652725
without_mask,blur,mean,21.514914033547292,0.7107930555288062
without_mask,blur,median,21.713655279407007,0.7195879511372318
without_mask,blur,none,31.182041944222743,0.8991902759843956
without_mask,blur,mean,31.03153807060929,0.8987219659903379
without_mask,blur,median,31.149301590781242,0.8991416271962756
without_mask,blur,none,20.904656707270284,0.584211985471459
without_mask,blur,mean,20.79454638861831,0.5688710889180244
